City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,gadzhiyevo,69.2551,33.3362,284.58,84,49,0.17,RU,1693453673
83,bredasdorp,-34.5322,20.0403,286.33,93,100,2.29,ZA,1693453674
84,mili,6.0815,171.735,302.39,72,41,3.63,MH,1693453674
85,ciudad lazaro cardenas,17.9583,-102.2,300.28,83,90,0.18,MX,1693453674
86,keflavik,64.0049,-22.5624,283.39,87,75,4.63,IS,1693453674
87,west island,-12.1568,96.8225,301.14,69,40,5.14,CC,1693453675
88,arkhangel'sk,64.5401,40.5433,285.51,82,99,1.47,RU,1693453675
89,sokcho,38.2083,128.5911,298.49,83,75,2.06,KR,1693453675
90,tamanrasset,22.785,5.5228,298.1,33,0,1.54,DZ,1693453533
91,ulsteinvik,62.3432,5.8487,286.35,94,9,1.34,NO,1693453676
92,shakawe,-18.3667,21.85,284.17,46,0,2.3,BW,1693453676
93,mende,44.6667,3.5,278.35,98,59,1.3,FR,1693453676
94,new norfolk,-42.7826,147.0587,287.87,63,92,5.23,AU,1693453677
95,cidade velha,14.9167,-23.6167,299.41,89,75,2.57,CV,1693453677
96,hermanus,-34.4187,19.2345,283.6,85,100,5.94,ZA,1693453677
97,vadso,70.0744,29.7487,284.64,93,0,3.09,NO,1693453677
98,vila velha,-20.3297,-40.2925,296.12,92,40,2.06,BR,1693453677
99,iqaluit,63.7506,-68.5145,276.0,93,75,1.03,CA,1693453677
100,constitucion,-35.3333,-72.4167,282.31,74,90,4.48,CL,1693453678
101,reggane,26.7158,0.1714,307.63,26,32,2.69,DZ,1693453678
102,arraial do cabo,-22.9661,-42.0278,293.47,90,7,7.27,BR,1693453678
103,nemuro,43.3236,145.575,293.12,91,99,8.35,JP,1693453678
104,okhotsk,59.3833,143.3,292.48,74,3,2.68,RU,1693453679
105,lebu,-37.6167,-73.65,280.65,82,69,2.58,CL,1693453582
106,ilulissat,69.2167,-51.1,277.16,87,100,3.6,GL,1693453679
107,hotan,37.0997,79.9269,300.73,17,0,2.51,CN,1693453679
108,sinop,41.7711,34.8709,296.45,46,54,2.91,TR,1693453680
109,bhanjanagar,19.9333,84.5833,303.74,60,99,0.7,IN,1693453680
110,dunedin,-45.8742,170.5036,288.6,43,0,1.79,NZ,1693453680
111,rawson,-43.3002,-65.1023,281.48,42,1,9.7,AR,1693453680
112,atafu village,-8.5421,-172.5159,301.92,73,71,6.43,TK,1693453680
113,gizo,-8.103,156.8419,299.26,80,99,7.98,SB,1693453680
114,kalix,65.853,23.1565,286.01,87,100,3.82,SE,1693453681
115,kodiak,57.79,-152.4072,286.88,72,100,1.54,US,1693453681
116,dwarka,22.2394,68.9678,300.02,73,100,4.11,IN,1693453681
117,kone,-21.0595,164.8658,298.6,72,100,1.99,NC,1693453682
118,hithadhoo,-0.6,73.0833,300.61,76,99,2.87,MV,1693453682
119,al hayy,32.1735,46.0433,306.54,27,0,3.39,IQ,1693453682
120,shimoda,34.6667,138.95,304.35,65,83,3.67,JP,1693453683
121,vorgashor,67.5833,63.95,283.32,75,86,3.19,RU,1693453683
122,port mathurin,-19.6833,63.4167,295.22,73,7,4.87,MU,1693453683
123,nouadhibou,20.931,-17.0347,296.28,86,93,2.98,MR,1693453684
124,belomorsk,64.5232,34.7668,285.46,97,100,3.12,RU,1693453684
125,kingston,17.997,-76.7936,303.68,78,20,6.17,JM,1693453618
126,sinabang,2.4803,96.3801,301.3,77,76,2.58,ID,1693453685
